epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
166,3413.71,1.10099,1.29366,1.53811,0.83919,0.54421,0.68101,0.43961,1.42642,1.34336,1.99994,0.000845432,0.000845432,0.000845432
167,3434.25,1.09361,1.26663,1.52395,0.82951,0.59977,0.69062,0.43551,1.39132,1.38386,1.9977,0.000841895,0.000841895,0.000841895
168,3454.78,1.10378,1.25825,1.54379,0.80463,0.63419,0.71978,0.45094,1.47789,1.33718,2.05955,0.000838359,0.000838359,0.000838359
169,3475.28,1.15038,1.29427,1.57916,0.7263,0.64512,0.68015,0.4287,1.45229,1.43077,2.07648,0.000834822,0.000834822,0.000834822
170,3495.82,1.12934,1.32498,1.56678,0.88153,0.57573,0.6976,0.44395,1.41345,1.37972,2.00519,0.000831285,0.000831285,0.000831285
171,3516.36,1.12064,1.35536,1.57143,0.74367,0.56792,0.64667,0.41298,1.46243,1.34347,2.05483,0.000827748,0.000827748,0.000827748
172,3536.89,1.118,1.303,1.56146,0.75843,0.62866,0.71193,0.43179,1.48867,1.33765,2.08434,0.000824211,0.000824211,0.000824211
173,3557.41,1.13159,1.24815,1.55193,0.76579,0.6881,0.71509,0.43564,1.45247,1.27651,2.0141,0.000820675,0.000820675,0.000820675
174,3577.93,1.13643,1.30585,1.54205,0.77447,0.59106,0.70114,0.42372,1.52128,1.39584,2.09862,0.000817138,0.000817138,0.000817138
175,3598.42,1.11585,1.24076,1.53126,0.75806,0.6965,0.74793,0.46679,1.43893,1.25343,2.02476,0.000813601,0.000813601,0.000813601
176,3618.93,1.1299,1.20822,1.55325,0.69527,0.67848,0.69227,0.40791,1.514,1.33056,2.09452,0.000810064,0.000810064,0.000810064
177,3639.46,1.12737,1.25523,1.55924,0.70596,0.60715,0.67201,0.41034,1.47288,1.34714,2.05922,0.000806528,0.000806528,0.000806528
178,3659.96,1.11074,1.21346,1.5352,0.65373,0.61616,0.63719,0.40452,1.47531,1.45379,1.99285,0.000802991,0.000802991,0.000802991
179,3680.45,1.1008,1.25533,1.53674,0.70738,0.64434,0.68822,0.43198,1.46667,1.34625,2.05404,0.000799454,0.000799454,0.000799454
